id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
1004; Aha, D., Kibler, D., & Albert, M. ; Instance-based learning algorithms. ; Machine Learning, ;6; 37-66 ;1991;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1005; D. Aha, D. Kibler, and M. Albert. ; Instance-based learning algorithms. ; Machine Learning, ; 6: 3766 ;NULL; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1006; Kibler, D. and Conery, J. ; Parallelism in AI Programs. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL; Technical report, ; Irvine Computational Intelligence Project, Information and Computer Science Department, University of California, Irvine. ;NULL
1007; John S. Conery and Dennis F. Kibler. ; AND parallelism in logic programs. ;NULL;NULL; pages 539-543 ; 1983. ; William Kaufmann, Los Altos. ; Karlsruhe, Germany,;NULL; In Proceedings of International Joint Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1008; J.S. Conery and D.F. Kibler. ; And parallelism and nondeterminism in logic programs. ; New Generation Computing, ;3; 43-70 ; 1985. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1009; J. S. Conery and D. F. Kibler. ; Parallelism in ai programs. ;NULL;NULL; pages 53-56 ; 1985. ;NULL;NULL;NULL; In Proceedings of International Joint Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1010; J.S. Conery and D.F. Kibler. ; And parallelism and nondeterminism in logic programs. ; New Generation Computing, ;3; 43-70 ; 1985. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1011; Aha DW, Kibler D, Albert MK. ; Instance-based Learning Methods, ; Machine Learning; 6: ; 37-66 ;" 1991;";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1012; D. Kibler and P. Morris. ; Don't be stupid. ;NULL;NULL; pages 345-347 ; 1981. ;NULL;NULL;NULL; In Proceedings of the Seventh International Joint Conference on Artificial Intelligence ;NULL;NULL;NULL;NULL
1013; Dennis Kibler. ; Natural generation of heuristics by transforming the problem representation. ;NULL;NULL;NULL; 1985. ;NULL;NULL;NULL;NULL;NULL; Technical Report TR-85-20, ; Department of Computer Science, University of California at Irvine, ;NULL
1014; Kibler, D. ; Natural Generation of Heuristics by Transforming the the Problem Representation. ;NULL;NULL;NULL; 1985. ;NULL;NULL;NULL;NULL;NULL; Technical Report TR-85-20, ; University of California, Irvine, CA, ;NULL
1015; B. Porter and D. Kibler. ; Experimental goal regression: A method for learning problem-solving heuristics. ; Machine Learning, ;1; 249-286 ; 1986. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1016; Kibler, D. and Aha, D. ; Learning representative exemplars of concepts: An initial case study. ;NULL;NULL; pages 24-30 ;1987;NULL; Irvine, CA. ;NULL; In Proc. of the 4 th International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1017; Dennis Kibler and David W. Aha. ; Learning representative exemplars of concepts: An initial case study. ;NULL;NULL;NULL; 1987. ;NULL; Irvine, CA, ;NULL; In Proceedings of the 4 th International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1018; Dennis Kibler and David W. Aha. ; Learning representative exemplars of concepts: An initial case study. ;NULL;NULL;NULL; 1987. ;NULL; Irvine, CA, ;NULL; In Proceedings of the 4 th International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1019; Kibler, D. and Langley, P., ; Machine Learning as an Experimental Science. ;NULL;NULL; pages 81-92 ; 1988. ; Turing Institute, Pitman. ; Glasgow, UK. ;NULL;NULL; editor,In Sleeman, D., ;NULL;NULL; October 
1020; Kibler, D., and Langley, P. ; Machine learning as an experimental science. ; Machine Learning, ; 3(1) ; 5-8 ;1988;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1021; Kibler D., Langley P.: ; Machine Learning as an Experimental Science, ; Machine Learning, ; 3(1) ; 5-8 ; 1988. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1022; Kibler, D. and Langley, P. ; Machine Learning as an Experimental Science. ;NULL;NULL;NULL; 1988. ; Pitman, ; Glasgow, Scotland, ;NULL; In Proceedings of the Third European Working Session on Learning ;NULL;NULL;NULL;NULL
1023; Kibler, D. and Aha, D. W. ; Instance-based prediction of real-valued attributes. ; Computational Intelligence, ; 5(2) ; 51-57 ;1989;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1024; Kibler, D. and Aha, D. W. ; Instance-based prediction of real-valued attributes. ; Computational Intelligence, ; 5(2) ; 51-57 ;1989;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1025; Kibler, D., Aha, D. W., and Albert, M. ; Instance-based prediction of real-valued attributes. ; Computational Intelligence, ;5; 51-57 ;1989;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1026; Kibler, D., Aha, D.W., & Albert, M.K.  ; Instance-based prediction of real-valued attributes, ; Computational Intelligence, ;5; 51-57 ;1989;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1027; Kibler, D., Aha, D.W., & Albert, M.K.  ;Instance-based prediction of real-valued attributes, ; Computational Intelligence, ;5; 51-57 ;1989;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1028; D. Kibler, D. W. Aha, and M. K. Albert. ; Instance-Based Prediction of Real-Valued Attributes. ; Computational Intelligence, ;5; 51-57 ; 1989. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1029; D. Kibler, D. W. Aha, and M. K. Albert. ; Instance-Based Prediction of Real-Valued Attributes. ; Computational Intelligence, ;5; 51-57 ; 1989. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1030; D. Kibler and D. W. Aha. ; Instance-based prediction of real-valued attributes. ; Computational Intelligence, ; 5(2) ; 51-57 ; 1989. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1031; D. Kibler and D. W. Aha. ; Instance-based prediction of real-valued attributes. ; Computational Intelligence, ; 5(2) ; 51-57 ; 1989. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1032; Pazzani, M. & Kibler, D. ; The Utility of Knowledge in Inductive Learning. ; Machine Learning; 9(1); 57-94 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1033; Pazzani, M., and Kibler, D., ;" ""The Utility of Knowledge in Inductive Learning,"" "; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1034; Michael Pazzani and Dennis Kibler. ; The role of prior knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1035; Michael Pazzani and Dennis Kibler. ; The role of prior knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1036; Michael Pazzani and Dennis Kibler. ; The role of prior knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1037; Micheal Pazzani and Dennis Kibler. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1038; Dennis Kibler (1993). ; Some real-world domains for learning problem solvers. ;NULL;NULL;NULL;NULL;NULL; Amherst, MA. ;NULL; In Proceedings of KCSL93 3rd International Workshop on Knowledge Compilation and Speedup Learning (in ICML93) ;NULL;NULL;NULL;NULL
1039; Dennis Kibler (1993). ; Some real-world domains for learning problem solvers. ;NULL;NULL;NULL;NULL;NULL; Amherst, MA. ;NULL; In Proceedings of KCSL93 3rd International Workshop on Knowledge Compilation and Speedup Learning (in ICML93) ;NULL;NULL;NULL;NULL
1040; Dennis Kibler (1993). ; Some real-world domains for learning problem solvers. ;NULL;NULL;NULL;NULL;NULL; Amherst, MA. ;NULL; In Proceedings of KCSL93 3rd International Workshop on Knowledge Compilation and Speedup Learning (in ICML93) ;NULL;NULL;NULL;NULL
1041; Pazzani M. and Kibler D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1042; Pazzani M. and Kibler D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1043; Pazzani M. and Kibler D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1044; Pazzani M. and Kibler D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ; 1991. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1045; Pazzani M, Kibler D. ; The utility of knowledge in Inductive learning. ; Machine Learning ;";9";:57-94;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1046; Pazzani M., Kibler D.: ; The Utility of Knowledge in Inductive Learning, ; in Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1047; Ourston, D. & Mooney, R. ; Theory refinement combining analytical and empirical methods. ; Artificial Intelligence, ; 66(2) ; 273-309 ;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1048; Ourston, D. & Mooney, R. ; Theory refinement combining analytical and empirical methods. ; Artificial Intelligence, ; 66(2) ; 273-309 ;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1049; Ourston, D. & Mooney, R. ; Theory refinement combining analytical and empirical methods. ; Artificial Intelligence, ; 66(2) ; 273-309 ;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1050; M. Pazzani and D. Kibler. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1051; Pazzani, M. , and Kibler, D., ; The utility of knowledge in inductive learning, ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1052; M. Pazzani & D. ; Kibler The utility of knowledge in inductive learning Machine Learning, ;NULL; 9(1): ; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1053; M. Pazzani and D. Kibler. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1054; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1055; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1056; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1057; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1058; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1059; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1060; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1061; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1062; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ; 9(1) ; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1063; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning.; Machine Learning,; 9(1); 57-94;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1064; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning.; Machine Learning,; 9(1) ;57-94;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1065; Pazzani, M. & Kibler, D. ; The utility of knowledge in inductive learning.;Machine Learning,; 9(1); 57-94;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1066; Pazzani, M. J., and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1067; Pazzani, M. and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning Journal, ; 9(1) ; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1068; Pazzani, M. and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1069; Pazzani, M. and Kibler, D. ; The utility of knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1070; Pazzani, M. and Kibler, D. ; The utility of knowledge in inductive learning.; Machine Learning; 9(1); 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1071; Pazzani, M. and Kibler, D., ; The Utility of Knowledge in Inductive Learning,; Machine Learning,; 9(1);NULL; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1072; Pazzani, M. and Kibler, D., ; The Utility of Knowledge in Inductive Learning,; Machine Learning, ;9(1) ;NULL; 1992. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1073; Pazzani, M., & Kibler, D. ; The Utility of Knowledge in Inductive Learning. ; Machine Learning, ; 9:1 ; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1074; Pazzani, M., & Kibler, D. ; The Utility of Knowledge in Inductive Learning. ; Machine Learning, ; 9:1 ; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1075; Pazzani, M., and Kibler, D. ; The utility of background knowledge in inductive learning. ; Machine Learning, ;9; 57-94 ;1992;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1151; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1152; Carla E. Brodley and Paul E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, MA, ;NULL;NULL;NULL; Technical Report COINS-CR-92-8, ; Dept. of Computer Science, University of Massachusetts,; January 
1153; Brodley, C.E., and Utgoff, P.E. ; Multivariate Versus Univariate Decision Trees. ;NULL;NULL;NULL; 1992. ;NULL; UMass. ;NULL;NULL;NULL; COINS Technical Report 92-8, ; Computer Science Dept.,;NULL
1154; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, Massachusetts, ; To appear in Machine Learning. ;NULL;NULL; COINS Technical Report 92-83, ; University of Massachussets,;NULL
1155; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, Massachusetts, ; To appear in Machine Learning. ;NULL;NULL; COINS Technical Report 92-83, ; University of Massachussets,;NULL
1156; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, Massachusetts, ; To appear in Machine Learning. ;NULL;NULL; COINS Technical Report 92-83, ; University of Massachussets,;NULL
1157; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL;Amherst, Massachusetts, ; To appear in Machine Learning. ;NULL;NULL; COINS Technical Report 92-83, ; University of Massachusetts, ;NULL
1158; C.E. Brodley and P.E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL;University of Massachussetts, ;NULL;NULL;NULL; TR 8, ; Department of Computer Science, ;NULL
1159; C.E. Brodley and P.E. Utgoff. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL;University of Massachussetts, ;NULL;NULL;NULL; TR 8, ; Department of Computer Science, ;NULL
1160; Carla E. Brodley and Paul Utgoff. ; Multivariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, ;NULL;NULL;NULL; Technical Report MASSCS 92-93, ; University of Massachusetts,;NULL
1161; Carla E. Brodley and Paul Utgoff. ; Multivariate decision trees. ;NULL;NULL;NULL; 1992. ;NULL; Amherst, ;NULL;NULL;NULL; Technical Report MASSCS 92-93, ; University of Massachusetts,;NULL
1162; Brodley, C. E. and Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Technical report, ; Department of Computer Sciences University of Massachussetts. ;NULL
1163; Brodley, C. E. and Utgoff, P. E. ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;1992;NULL;NULL;NULL;NULL;NULL; Technical report, ; Department of Computer Sciences University of Massachussetts. ;NULL
1164; C.E. Brodley and P.E. Utgoff, ; Multivariate versus univariate decision trees. ;NULL;NULL;NULL;NULL;NULL; University of Massachusetts, Amherst, MA. ;NULL;NULL;NULL; COINS Technical Report 92-8, ; Department of Computer Science,;NULL
1165; C. E. Brodley and P. E. Utgoff. ; Goal-directed Classification Using Linear Machine Decision Trees. ; Machine Learning, ;NULL;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1166; C. E. Brodley and P. E. Utgoff. ; Goal-directed Classification Using Linear Machine Decision Trees. ; Machine Learning, ;NULL;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1167; C. E. Brodley and P. E. Ut-goff. ; Goal-directed Classification Using Linear Machine Decision Trees.; Machine Learning, ;NULL;NULL; page  1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1168; B. Draper, C. E. Brodley, and P. Utgoff. ; Goal-directed Classification Using Linear Machine Decision Trees. ; IEEE Trans. on Pattern Analysis and Machine Intelligence, ;NULL;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1169; C. E. Brodley and P. E. Utgoff. ; Goal-directed Classification Using Linear Machine Decision Trees.; Machine Learning, ;NULL;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1170; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1171; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1172; Brodley, C. E. & Utgoff, P. E. ;" , ""Multivariate decision trees"","; Machine Learning. ;NULL;NULL;NULL; Forthcoming. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1173; Brodley, C. E. and Utgoff P. E. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1174; Brodley, C. E. and Utgoff P. E. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1175; Brodley, C. E. and Utgoff, P. E. ; Multivariate decision trees, ; Machine Learning ;19:00; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1176; Brodley, C. E. and Utgoff, P. E. ; Multivariate decision trees, ; Machine Learning ;19:00; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1177; Brodley, C. E. and Utgoff, P. E. ; Multivariate decision trees, ; Machine Learning ;19:00; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1178; Brodley, C. E., & Utgoff, P. E. ; (in press). Multivariate decision trees. ; Machine Learning. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1179; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees.; Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1180; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees.; Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1181; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees.; Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1182; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees.; Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1183; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees.; Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1184; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees. ;Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1185; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees.; Machine Learning, ;NULL;NULL;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1186; Brodley, C. E., & Utgoff, P. E. ; Multivariate decision trees. ; Machine Learning, ; 19 (1) ; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1187; Brodley, C. E., Utgoff, P. E. ; Multivariate Decision Trees, ; In Machine Learning, ;19; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1188; Brodley, C.E. and Utgoff P.E. ; Multivariate Decision Trees, ; Machine Learning ;19; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1189; Brodley, C.E. and Utgoff P.E. ; Multivariate Decision Trees, ; Machine Learning ;19; 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1190; Brodley, C.E., and Utgoff, P.E. ;" ""Multivariate Decision Trees"", "; Machine Learning, ;19; pp 45-77 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1191; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ; 19(1) ; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1192; Brodley, C.E. and Utgoff, P.E. ;" ""Multivariate Decision Trees"","; Machine Learning, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1193; C.E. Brodley and P.E. Utgoff, ;" ""Multivariate decision trees"","; Machine Learning, ;NULL; pp 45-57 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1194; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ; 19(1) ; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1195; Brodley, C. E., and Utgoff, P. E. ; Multivariate Decision Trees. ;  Machine Learning. ;NULL;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1196; Carla Brodley and Paul Utgoff. ;" ""Linear Machine Decision Trees,"" ";NULL;NULL;NULL;NULL;NULL;NULL; submitted to Machine Learning. ;NULL;NULL;NULL;NULL;NULL
1197; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1198; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1199; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1200; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1201; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1202; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1203; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1204; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1205; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1206; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ; 19(1) ; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1207; C.E. Brodley and P.E. Utgoff, ;" ""Multivariate decision trees"", "; Machine Learning, ;NULL;NULL; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1208; C. Brodley and P. Utgoff. ; Multivariate trees. ; Machine Learning, ;19;NULL; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1209; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ; 19(1) ; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1210; C. E. Brodley and P. E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ; 19(1) ; 45-77 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1211; Brodley, C.E., and Utgoff, P.E. ; Multivariate Decision Trees. ;  Machine Learning. ;NULL;NULL; 1994. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1212; Carla E. Brodley and Paul E. Utgoff. ; Multivariate decision trees. ; Machine Learning, ; 19(1) ; 45-78 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1213; C.E. Brodley and P.E. Utgoff, ; Multivariate decision trees. ; Machine Learning, ;19; 45-77 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1214; C. Brodley, P. Utgoff, ;" ""Multivriate Decision Trees"","; Machine Learning, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1215; Callan, J.P. and Utgoff, P.E., ;" ""A Transformational Approach to Constructive Induction,"" ";NULL;NULL; pp 122-126 ; 1991. ;NULL; Evanston, ;NULL; Proceedings of the Eight International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
1216; Callan, J. and Utgoff, P. ; A Transformational Approach to Constructive Induction. ;NULL;NULL; pages 122-126 ; 1991. ; Morgan Kauf-mann. ; Northwestern University, Chicago, IL,;NULL; In Proceedings of the Eighth International Workshop on Machine Learning ;NULL;NULL;NULL;NULL
